Description,Data.Sugar Total,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Fat.Saturated Fat,Diabetic_Suitability
EGGNOG,8.409999847,13.54,0.0,135,4.443,1
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.679999828,4.68,0.0,178,13.272,0
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",0.0,4.74,0.0,63,0.768,1
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",4.739999771,4.74,0.0,63,3.101,1
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",11.38000011,11.38,0.0,136,1.937,1
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",0.0,11.38,0.0,136,9.304,0
"CREAM SUBSTITUTE,POWDERED",54.88000107,54.88,0.0,545,32.525,0
"DESSERT TOPPING,POWDERED",52.54000092,52.54,0.0,577,36.723,0
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",16.53000069,16.53,0.0,188,10.684,0
"DESSERT TOPPING,PRESSURIZED",16.06999969,16.07,0.0,264,18.912,0
"DESSERT TOPPING,SEMI SOLID,FRZ",23.04999924,23.05,0.0,318,21.783,0
"SOUR CRM,IMITN,CULTURED",6.630000114,6.63,0.0,208,17.791,0
"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",6.159999847,6.16,0.0,61,0.767,1
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",0.0,6.16,0.0,61,3.037,1
"MILK,WHL,3.25% MILKFAT",5.260000229,4.52,0.0,60,1.865,1
"MILK,PRODUCER,FLUID,3.7% MILKFAT",0.0,4.65,0.0,64,2.278,1
"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",5.059999943,4.68,0.0,50,1.257,1
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",0.0,4.97,0.0,51,1.195,1
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",5.260000229,5.49,0.0,56,1.232,1
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",5.199999809,4.99,0.0,42,0.633,1
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",0.0,4.97,0.0,43,0.604,1
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",0.0,5.52,0.0,48,0.728,1
"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",5.090000153,4.96,0.0,34,0.051,1
"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.019999981,5.02,0.0,37,0.162,1
"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",0.0,5.56,0.0,41,0.162,1
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.789999962,4.79,0.0,40,0.548,1
"MILK,LOW SODIUM,FLUID",4.460000038,4.46,0.0,61,2.154,1
"MILK,DRY,WHOLE",38.41999817,38.42,0.0,496,16.742,0
"MILK,DRY,NONFAT,REG,WO/ VIT A",51.97999954,51.98,0.0,362,0.499,0
"MILK,DRY,NONFAT,INST,W/ VIT A",52.18999863,52.19,0.0,358,0.467,0
"MILK,DRY,NONFAT,CA RED",0.0,51.8,0.0,354,0.124,0
"MILK,BUTTERMILK,DRIED",49.0,49.0,0.0,387,3.598,0
"MILK,CND,COND,SWTND",54.40000153,54.4,0.0,321,5.486,0
"MILK,CND,EVAP,WO/ VIT A",10.03999996,10.04,0.0,134,4.591,1
"MILK,CND,EVAP,NONFAT",11.35000038,11.35,0.0,78,0.121,1
"MILK,CHOC,FLUID,COMM,",9.539999962,10.34,0.800000012,83,2.104,1
"MILK,CHOC,FLUID,COMM,RED FAT",9.550000191,12.13,0.699999988,76,1.177,1
"MILK,CHOC,FLUID,COMM,LOWFAT",9.93999958,10.44,0.5,63,0.616,1
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",9.670000076,10.63,1.0,77,1.431,1
"MILK,GOAT,FLUID",4.449999809,4.45,0.0,69,2.667,1
"MILK,HUMAN,MATURE,FLUID",6.889999866,6.89,0.0,70,2.009,1
"MILK,INDIAN BUFFALO,FLUID",0.0,5.18,0.0,97,4.597,1
"MILK,SHEEP,FLUID",0.0,5.36,0.0,108,4.603,1
"MILK SHAKES,THICK CHOC",20.85000038,21.15,0.300000012,119,1.681,0
"MILK SHAKES,THICK VANILLA",17.75,17.75,0.0,112,1.886,0
"WHEY,ACID,FLUID",5.119999886,5.12,0.0,24,0.057,1
"WHEY,ACID,DRIED",73.44999695,73.45,0.0,339,0.342,0
"WHEY,SWEET,FLUID",5.139999866,5.14,0.0,27,0.23,1
"WHEY,SWEET,DRIED",74.45999908,74.46,0.0,353,0.684,0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.659999847,4.66,0.0,61,2.096,1
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",7.039999962,7.04,0.0,63,1.0,1
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",7.679999828,7.68,0.0,56,0.116,1
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",13.80000019,13.8,0.0,85,0.806,1
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",18.63999939,18.64,0.0,99,0.742,0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",19.04999924,19.05,0.0,102,0.697,0
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",0.0,18.6,0.0,105,0.909,1
"EGG,WHOLE,RAW,FRESH",0.769999981,0.77,0.0,143,3.099,1
"EGG,WHITE,RAW,FRESH",0.709999979,0.73,0.0,48,0.0,1
"EGG,YOLK,RAW,FRSH",0.560000002,3.59,0.0,317,9.551,0
"EGG,YOLK,RAW,FROZEN",0.50999999,1.15,0.0,303,7.82,0
"EGG,YOLK,RAW,FRZ,SUGARED",0.0,10.8,0.0,307,6.97,0
"EGG,WHL,CKD,FRIED",0.829999983,0.88,0.0,196,4.294,1
"EGG,WHL,CKD,HARD-BOILED",1.120000005,1.12,0.0,155,3.267,1
"EGG,WHOLE,COOKED,OMELET",0.649999976,0.68,0.0,157,3.296,1
"EGG,WHL,CKD,POACHED",0.769999981,0.76,0.0,142,3.087,1
"EGG,WHL,CKD,SCRMBLD",1.730000019,2.2,0.0,167,3.679,1
"EGG,WHOLE,DRIED",3.079999924,4.95,0.0,594,12.727,0
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",0.0,2.38,0.0,615,13.198,0
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",4.170000076,4.17,0.0,351,0.0,1
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",4.46999979,4.47,0.0,376,0.0,1
"EGG,YOLK,DRIED",3.599999905,3.6,0.0,666,17.154,0
"EGG,DUCK,WHOLE,FRESH,RAW",0.930000007,1.45,0.0,185,3.681,1
"EGG,GOOSE,WHOLE,FRESH,RAW",0.939999998,1.35,0.0,185,3.595,1
"EGG,QUAIL,WHOLE,FRESH,RAW",0.409999996,0.41,0.0,158,3.557,1
"EGG,TURKEY,WHL,FRSH,RAW",0.0,1.15,0.0,171,3.632,1
"EGG SUBSTITUTE,FROZEN",3.200000048,3.2,0.0,160,1.93,1
"EGG SUBSTITUTE,LIQUID",0.639999986,0.64,0.0,84,0.659,1
"EGG SUBSTITUTE,POWDER",21.79999924,21.8,0.0,444,3.766,0
"BUTTER,WITHOUT SALT",0.059999999,0.06,0.0,717,51.368,0
"CHEESE,PARMESAN,SHREDDED",0.0,3.41,0.0,415,17.37,0
"CHEESE,PAST PROCESS,AMERICAN,WO/DI NA PO4",0.50999999,1.6,0.0,375,19.694,0
"CHEESE,PAST PROCESS,SWISS,WO/DI NA PO4",0.0,2.1,0.0,334,16.045,0
"CHEESE FD,PAST PROCESS,AMERICAN,W/DI NA PO4",7.429999828,7.29,0.0,328,15.443,0
"CHEESE SPRD,PAST PROCESS,AMERICAN,W/DI NA PO4",0.0,8.73,0.0,290,13.327,0
"MILK,NONFAT,FLUID,WO/ VIT A (FAT FREE OR SKIM)",5.090000153,4.85,0.0,35,0.117,1
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",0.0,5.49,0.0,56,1.232,1
"MILK,CND,EVAP,W/ VIT A",0.0,10.04,0.0,134,4.591,1
"MILK,DRY,NONFAT,REG,W/ VIT A",51.97999954,51.98,0.0,362,0.499,0
"MILK,DRY,NONFAT,INST,WO/ VIT A",52.18999863,52.19,0.0,358,0.47,0
"CHEESE,GOAT,HARD TYPE",2.170000076,2.17,0.0,452,24.609,0
"CHEESE,GOAT,SEMISOFT TYPE",2.539999962,2.54,0.0,364,20.639,0
"CHEESE,GOAT,SOFT TYPE",0.889999986,0.89,0.0,268,14.575,0
"EGG,YOLK,RAW,FRZ,SALTED",0.0,1.6,0.0,274,7.028,0
"CHEESE SUB,MOZZARELLA",23.67000008,23.67,0.0,248,3.711,0
CHEESE FONDUE,0.0,3.77,0.0,229,8.721,0
"CHEESE SAU,PREP FROM RECIPE",0.0,5.48,0.100000001,197,8.034,0
"CHEESE,MEXICAN,QUESO ANEJO",4.630000114,4.63,0.0,373,19.033,0
"CHEESE,MEXICAN,QUESO ASADERO",2.869999886,2.87,0.0,356,17.939,0
"CHEESE,MEXICAN,QUESO CHIHUAHUA",5.559999943,5.56,0.0,374,18.843,0
"CHEESE,LOFAT,CHEDDAR OR COLBY",0.519999981,1.91,0.0,173,4.342,1
"CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",0.49000001,1.91,0.0,398,20.768,0
"EGG,WHOLE,RAW,FROZEN",0.0,1.05,0.0,148,3.147,1
"EGG,WHITE,RAW,FROZEN",0.0,1.05,0.0,47,0.0,1
"EGG,WHITE,DRIED",5.400000095,7.8,0.0,382,0.0,1
"SOUR CREAM,REDUCED FAT",0.300000012,7.0,0.0,181,8.7,0
"SOUR CREAM,LIGHT",0.219999999,7.1,0.0,136,6.6,0
"SOUR CREAM,FAT FREE",0.389999986,15.6,0.0,74,0.0,1
"USDA COMMODITY,CHS,CHEDDAR,RED FAT",0.579999983,2.0,0.0,282,11.6,0
"YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",7.5,7.5,0.0,47,0.116,1
"PARMESAN CHS TOPPING,FAT FREE",1.5,40.0,0.0,370,3.11,1
"CHEESE,CREAM,FAT FREE",5.480000019,7.66,0.0,105,0.644,1
"YOGURT,CHOC,NONFAT MILK",14.97000027,23.53,1.200000048,108,0.0,1
KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,6.699999809,9.2,0.300000012,276,13.1,0
KRAFT CHEEZ WHIZ LT PAST PROCESS CHS PRODUCT,8.199999809,16.2,0.200000003,215,6.4,0
KRAFT FREE SINGLES AMERICAN NONFAT PAST PROCESS CHS PRODUCT,6.699999809,11.7,0.200000003,148,0.7,1
KRAFT VELVEETA PAST PROCESS CHS SPRD,8.100000381,9.8,0.0,303,14.4,0
KRAFT VELVEETA LT RED FAT PAST PROCESS CHS PRODUCT,8.5,11.8,0.0,222,7.1,0
KRAFT BREAKSTONE'S RED FAT SOUR CRM,6.400000095,6.5,0.100000001,152,7.6,0
KRAFT BREAKSTONE'S FREE FAT FREE SOUR CRM,7.199999809,15.1,0.0,91,0.8,1
KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),17.39999962,18.2,0.200000003,96,0.5,0
KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),19.60000038,21.9,0.200000003,108,0.5,0
KRAFT BREYERS SMOTH&CRMY LOWFAT STR'BERY YOGURT (1% MILKFAT),17.20000076,19.9,0.300000012,102,0.5,0
KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),7.699999809,9.9,0.0,55,0.1,1
"CREAM,HALF & HALF,FAT FREE",5.0,9.0,0.0,59,0.841,1
REDDI WIP FAT FREE WHIPPED TOPPING,16.0,25.0,0.400000006,149,2.869,0
"MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",9.550000191,12.13,0.699999988,78,1.177,1
"YOGURT,FRUIT,LOFAT,W/LO CAL SWEETENER",2.900000095,18.6,0.0,105,0.909,1
"CHEESE,PARMESAN,DRY GRATED,RED FAT",0.0,1.37,0.0,265,13.317,0
"CREAM SUB,FLAV,LIQ",33.04000092,35.07,1.100000024,251,2.635,0
"CREAM SUB,FLAV,POWDERED",58.00999832,75.42,1.200000048,495,19.446,0
"CHEESE,PROVOLONE,RED FAT",0.550000012,3.5,0.0,274,11.3,0
"CHEESE,MEXICAN,BLEND,RED FAT",0.560000002,3.41,0.0,282,11.58,0
"EGG MIX,USDA CMDTY",2.460000038,23.97,0.0,549,10.305,0
"ALLSPICE,GROUND",0.0,72.12,21.60000038,263,2.55,0
ANISE SEED,0.0,50.02,14.60000038,337,0.586,0
"SPICES,BASIL,DRIED",1.710000038,60.96,40.5,251,0.24,0
"SPICES,BAY LEAF",0.0,74.97,26.29999924,313,2.28,0
CARAWAY SEED,0.639999986,49.9,38.0,333,0.62,0
"SPICES,CARDAMOM",0.0,68.47,28.0,311,0.68,0
CELERY SEED,0.670000017,41.35,11.80000019,392,2.19,1
"CHERVIL,DRIED",0.0,49.1,11.30000019,237,0.169,0
CHILI POWDER,7.190000057,54.66,34.20000076,314,2.953,0
"CINNAMON,GROUND",2.170000076,80.59,53.09999847,247,0.345,0
"CLOVES,GROUND",2.380000114,61.21,34.20000076,323,5.438,0
"CORIANDER LEAF,DRIED",7.269999981,52.1,10.39999962,279,0.115,0
CORIANDER SEED,0.0,54.99,41.90000153,298,0.99,0
CUMIN SEED,2.25,44.24,10.5,375,1.535,1
CURRY POWDER,2.75999999,58.15,33.20000076,325,2.237,0
DILL SEED,0.0,55.17,21.10000038,305,0.73,0
"DILL WEED,DRIED",0.0,55.82,13.60000038,253,0.234,0
FENNEL SEED,0.0,52.29,39.79999924,345,0.48,0
FENUGREEK SEED,0.0,58.35,24.60000038,323,1.46,0
GARLIC POWDER,24.29999924,72.71,9.899999619,332,0.135,0
"GINGER,GROUND",3.390000105,70.79,12.5,347,1.94,0
"MACE,GROUND",0.0,50.5,20.20000076,475,9.51,0
"MARJORAM,DRIED",4.090000153,60.56,40.29999924,271,0.529,0
"MUSTARD SEED,YELLOW",6.789999962,34.94,14.69999981,469,1.46,1
"NUTMEG,GROUND",28.48999977,49.29,20.79999924,525,25.94,0
ONION POWDER,35.47999954,80.67,5.699999809,347,0.183,0
"SPICES,OREGANO,DRIED",4.090000153,64.43,42.79999924,306,2.66,0
PAPRIKA,10.34000015,55.74,37.40000153,289,2.1,0
"PARSLEY,DRIED",7.269999981,51.66,30.39999962,276,0.115,0
"PEPPER,BLACK",0.639999986,64.81,26.5,255,0.98,0
"PEPPER,RED OR CAYENNE",10.34000015,56.63,27.20000076,318,3.26,0
"PEPPER,WHITE",0.0,68.61,26.20000076,296,0.626,0
POPPY SEED,2.99000001,28.13,19.5,525,4.517,1
POULTRY SEASONING,3.079999924,65.59,11.30000019,307,3.29,0
PUMPKIN PIE SPICE,7.760000229,69.28,14.80000019,342,6.53,0
"ROSEMARY,DRIED",0.0,64.06,42.59999847,331,7.371,0
SAFFRON,0.0,65.37,3.900000095,310,1.586,0
"SAGE,GROUND",1.710000038,60.73,40.29999924,315,7.03,0
"SAVORY,GROUND",0.0,68.73,45.70000076,272,3.26,0
"SPICES,TARRAGON,DRIED",0.0,50.22,7.400000095,295,1.881,0
"SPICES,THYME,DRIED",1.710000038,63.94,37.0,276,2.73,0
"TURMERIC,GROUND",3.210000038,64.93,21.10000038,354,3.12,0
"BASIL,FRESH",0.300000012,2.65,1.600000024,23,0.041,1
"DILL WEED,FRSH",0.0,7.02,2.099999905,43,0.06,1
"MUSTARD,PREPARED,YELLOW",0.860000014,5.33,3.299999952,67,0.248,1
"SALT,TABLE",0.0,0.0,0.0,0,0.0,1
"VINEGAR,CIDER",0.400000006,0.93,0.0,21,0.0,1
"THYME,FRSH",0.0,24.45,14.0,101,0.467,1
VANILLA EXTRACT,12.64999962,12.65,0.0,288,0.01,1
"VANILLA EXTRACT,IMITN,ALCOHOL",0.0,2.41,0.0,237,0.0,1
"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.39999962,14.4,0.0,56,0.0,1
"VINEGAR,DISTILLED",0.039999999,0.04,0.0,18,0.0,1
"CAPERS,CANNED",0.409999996,4.89,3.200000048,23,0.233,1
"HORSERADISH,PREPARED",7.989999771,11.29,3.299999952,48,0.09,1
"ROSEMARY,FRESH",0.0,20.7,14.10000038,131,2.838,1
"PEPPERMINT,FRESH",0.0,14.89,8.0,70,0.246,1
"SPEARMINT,FRESH",0.0,8.41,6.800000191,44,0.191,1
"SPEARMINT,DRIED",0.0,52.04,29.79999924,285,1.577,0
"VINEGAR,RED WINE",0.0,0.27,0.0,19,0.0,1
"VINEGAR,BALSAMIC",14.94999981,17.03,0.0,88,0.0,1
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",18.76000023,56.29,18.79999924,188,0.0,0
"BABYFOOD,MEAT,BF,STR",0.0,2.43,0.0,81,1.18,1
"BABYFOOD,MEAT,BF,STR",0.0,2.43,0.0,81,1.18,1
"BABYFOOD,MEAT,VEAL,STR",0.0,1.51,0.0,81,1.063,1
"BABYFOOD,MEAT,PORK,STR",0.0,0.0,0.0,124,2.4,1
"BABYFOOD,MEAT,HAM,STR",0.0,3.7,0.0,97,1.267,1
"BABYFOOD,MEAT,HAM,JUNIOR",0.0,3.7,0.0,97,1.271,1
"BABYFOOD,MEAT,LAMB,STR",0.0,0.85,0.0,87,1.65,1
"BABYFOOD,MEAT,LAMB,JUNIOR",0.0,0.0,0.0,112,2.56,1
"BABYFOOD,MEAT,CHICK,STR",0.0,0.1,0.0,130,2.03,1
"BABYFOOD,MEAT,CHICK,JR",0.0,0.0,0.0,146,2.47,1
"BABYFOOD,MEAT,CHICK STKS,JR",1.399999976,1.5,0.200000003,188,4.094,1
"BABYFOOD,MEAT,TURKEY,STR",0.0,1.4,0.0,111,1.641,1
"BABYFOOD,MEAT,TURKEY,JR",0.0,1.4,0.0,111,1.641,1
"BABYFOOD,MEAT,TURKEY STKS,JR",1.399999976,1.4,0.5,182,4.143,1
"BABYFOOD,MEAT,MEAT STKS,JR",0.800000012,1.1,0.200000003,184,5.82,0
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",0.0,7.7,0.0,48,0.0,1
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",0.0,8.0,0.0,48,0.0,1
"BABYFOOD,DINNER,BF LASAGNA,TODD",0.0,10.0,0.0,77,0.0,1
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",2.089999914,9.45,1.200000048,61,0.486,1
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",2.430000067,9.4,1.100000024,59,0.411,1
"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",0.589999974,16.3,0.100000001,99,0.96,1
"BABYFOOD,DINNER,BF NOODLE,STR",1.419999957,8.18,1.299999952,63,0.937,1
"BABYFOOD,MACARONI&CHS,TODD",0.790000021,11.2,0.5,83,1.53,1
"BABYFOOD,DINNER,BF&RICE,TODD",0.0,8.8,0.0,82,0.0,1
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",2.720000029,11.42,1.100000024,68,0.543,1
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",0.0,10.8,0.0,75,0.0,1
"BABYFOOD,DINNER,BF STEW,TODD",1.389999986,5.5,1.100000024,51,0.58,1
"BABYFOOD,DINNER,VEG&BF,STR",2.339999914,8.84,1.299999952,77,1.367,1
"BABYFOOD,DINNER,VEG&BF,JR",2.339999914,8.84,1.299999952,77,1.367,1
"BABYFOOD,DINNER,BF W/VEG",2.160000086,6.36,1.799999952,96,2.84,1
"BABYFOOD,DINNER,VEG&BACON,STR",1.769999981,8.81,1.700000048,69,1.063,1
"BABYFOOD,DINNER,VEG&HAM,STR",1.370000005,7.8,1.600000024,59,0.764,1
"BABYFOOD,DINNER,VEG&HAM,JR",0.99000001,8.65,1.0,60,0.483,1
"BABYFOOD,DINNER,VEG&LAMB,STR",0.939999998,6.9,1.100000024,52,0.828,1
"BABYFOOD,DINNER,VEG&LAMB,JR",0.939999998,7.1,1.100000024,51,0.696,1
"BABYFOOD,DINNER,CHICK NOODLE,STR",2.5,9.08,2.099999905,66,0.595,1
"BABYFOOD,DINNER,CHICK NOODLE,JR",1.070000052,8.79,0.899999976,55,0.338,1
"BABYFOOD,DINNER,CHICK SOUP,STR",1.720000029,7.2,1.100000024,50,0.278,1
"BABYFOOD,DINNER,CHICK STEW,TODD",1.679999948,6.4,0.600000024,78,1.1,1
"BABYFOOD,DINNER,VEG CHICK,STR",1.580000043,8.42,2.099999905,59,0.496,1
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",0.0,7.9,1.100000024,63,0.0,1
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",0.0,9.1,1.100000024,64,0.0,1
"BABYFOOD,DINNER,PASTA W/VEG",1.200000048,8.4,1.5,60,1.23,1
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",0.0,6.8,1.100000024,44,0.0,1
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",0.0,7.6,1.100000024,52,0.0,1
"BABYFOOD,DINNER,TURKEY&RICE,STR",1.659999967,7.94,0.899999976,52,0.338,1
"BABYFOOD,DINNER,TURKEY&RICE,JR",1.25,9.57,1.0,56,0.239,1
"BABYFOOD,DINNER,VEG&TURKEY,STR",1.539999962,7.62,1.5,48,0.236,1
"BABYFOOD,DINNER,VEG&TURKEY,JR",1.360000014,7.55,0.899999976,53,0.485,1
"BABYFOOD,DINNER,VEG&TURKEY,TODD",0.0,8.0,0.0,80,0.0,1
"BABYFOOD,DINNER,MACARONI&CHS,STR",1.269999981,8.95,0.699999988,67,1.291,1
"BABYFOOD,DINNER,MACARONI&CHS,JR",1.320000052,8.2,0.300000012,61,1.175,1
"BABYFOOD,VEG,GRN BNS,STR",1.879999995,6.29,2.200000048,27,0.039,1
"BABYFOOD,VEG,GRN BNS,JR",1.080000043,5.7,1.899999976,24,0.023,1
"BABYFOOD,GRN BNS,DICES,TODD",1.059999943,5.7,1.299999952,29,0.044,1
"BABYFOOD,VEG,GRN BNS&POTATOES",2.349999905,9.0,1.399999976,62,1.117,1
"BABYFOOD,VEG,BEETS,STR",6.090000153,7.7,1.899999976,34,0.016,1
"BABYFOOD,VEG,CARROTS,STR",3.640000105,6.0,1.700000048,27,0.018,1
"BABYFOOD,VEG,CARROTS,JR",3.160000086,7.2,1.700000048,32,0.036,1
"Babyfood, vegetables, squash, strained",3.369999886,5.73,0.899999976,28,0.02,1
